,boro, nb, count
612,Brooklyn,Brownsville,249
613,Queens,Inwood,73
614,Brooklyn,Morrisania,4
615,Manhattan,Jackson Heights,816
616,Queens,Kew Gardens Hills,486
617,Manhattan,Brooklyn Heights,18014
618,Queens,Green-Wood Cemetery,3
619,Brooklyn,Hollis Hills,1
620,Brooklyn,SoHo,28599
621,Staten Island,Columbia St,2
622,Queens,Borough Park,20
623,Bronx,Financial District,811
624,Staten Island,Willowbrook,8
625,Brooklyn,Hollis,1
626,Manhattan,Williamsburg,33084
627,Queens,Cambria Heights,99
628,Queens,Mott Haven,102
629,Queens,Dyker Heights,2
630,Bronx,Morris Park,143
631,Manhattan,Woodhaven,49
632,Staten Island,Kensington,1
633,Manhattan,Elmhurst,1266
634,Manhattan,Carroll Gardens,10455
635,Queens,Williamsburg,6132
636,Manhattan,Fort Greene,7600
637,Manhattan,Bayside,14
638,Manhattan,Randall Manor,3
639,Staten Island,East Elmhurst,5
640,Brooklyn,Tribeca,18375
641,Queens,Brooklyn Heights,1462
642,Bronx,John F. Kennedy International Airport,3950
643,Staten Island,Fort Wadsworth,3
644,Bronx,Park Slope,30
645,Bronx,East Harlem,3252
646,Manhattan,Flatiron District,223026
647,Manhattan,Belmont,33
648,Bronx,Little Italy,51
649,Bronx,Vinegar Hill,1
650,Queens,Flushing Meadows Corona Park,1126
651,Queens,Marble Hill,1
652,Queens,Jamaica Hills,455
653,Queens,Highbridge,6
654,Manhattan,Williamsbridge,12
655,Brooklyn,Sheepshead Bay,2209
656,Bronx,Crotona Park,95
657,Queens,Theater District,38887
658,Bronx,Port Morris,492
659,Staten Island,West Village,109
660,Staten Island,Grant City,1
661,Staten Island,Downtown Brooklyn,10
662,Queens,Throgs Neck,8
663,Brooklyn,College Point,7
664,Staten Island,Sunnyside,3
665,Manhattan,Tottenville,1
666,Brooklyn,Pelham Bay Park,1
667,Bronx,Williamsburg,137
668,Brooklyn,Ditmars Steinway,351
669,Bronx,Mott Haven,1421
670,Bronx,NoHo,174
671,Staten Island,Marine Park,2
672,Staten Island,South Beach,7
673,Staten Island,Battery Park City,32
674,Queens,Van Nest,2
675,Manhattan,City Island,4
676,Queens,Oakwood,1
677,Staten Island,Concord,18
678,Staten Island,Greenwich Village,71
679,Queens,Bay Terrace,100
680,Brooklyn,Columbia St,461
681,Brooklyn,Fort Hamilton,439
682,Manhattan,Norwood,24
683,Queens,Nolita,2029
684,Bronx,Rego Park,17
685,Staten Island,Central Park,7
686,Manhattan,Glen Oaks,3
687,Bronx,Clinton Hill,7
688,Manhattan,Inwood,1514
689,Manhattan,Ditmars Steinway,3762
690,Brooklyn,Harlem,902
691,Queens,Red Hook,26
692,Bronx,East New York,3
693,Staten Island,Flatlands,2
694,Manhattan,Park Hill,6
695,Queens,Melrose,6
696,Staten Island,DUMBO,2
697,Staten Island,Tompkinsville,20
698,Staten Island,Randall Manor,20
699,Queens,North Riverdale,1
700,Bronx,Bay Terrace,1
701,Manhattan,NoHo,95104
702,Bronx,Riverdale,56
703,Staten Island,Elmhurst,1
704,Manhattan,Flushing,502
705,Manhattan,Springfield Gardens,138
706,Bronx,Morrisania,726
707,Manhattan,Woodside,4463
708,Queens,Bensonhurst,9
709,Manhattan,Bronxdale,10
710,Brooklyn,Upper West Side,13133
711,Brooklyn,East Flatbush,727
712,Brooklyn,Gerritsen Beach,9
713,Queens,Prospect Heights,326
714,Brooklyn,Park Slope,13545
715,Bronx,Woodlawn,69
716,Bronx,Ridgewood,1
717,Staten Island,Graniteville,27
718,Bronx,Spuyten Duyvil,48
719,Brooklyn,Greenwich Village,19858
720,Bronx,Flatbush,2
721,Bronx,Upper West Side,7225
722,Brooklyn,Throgs Neck,1
723,Staten Island,Borough Park,2
724,Queens,Pelham Bay Park,1
725,Manhattan,Borough Park,73
726,Manhattan,Rosedale,6
727,Queens,Financial District,13681
728,Brooklyn,Rego Park,118
729,Manhattan,Sunnyside,14563
730,Brooklyn,Morningside Heights,922
731,Brooklyn,Brighton Beach,182
732,Manhattan,Theater District,522831
733,Brooklyn,Prospect Heights,3827
734,Bronx,Bayside,3
735,Manhattan,Throgs Neck,15
736,Manhattan,South Beach,2
737,Bronx,Concourse Village,309
738,Bronx,South Brother Island,1
739,Staten Island,Tottenville,2
740,Queens,Hollis Hills,14
741,Staten Island,Theater District,89
742,Brooklyn,Borough Park,1654
743,Queens,Woodlawn,3
744,Staten Island,Navy Yard,1
745,Bronx,Westchester Square,240
746,Staten Island,Stapleton,7
747,Manhattan,Flatbush,247
748,Brooklyn,New Springville,1
749,Manhattan,Morris Park,15
750,Bronx,Washington Heights,816
751,Brooklyn,Corona,20
752,Brooklyn,Chinatown,8626
753,Staten Island,Two Bridges,1
754,Brooklyn,Red Hook,571
755,Manhattan,Wakefield,5
756,Queens,Concord,1
757,Manhattan,Spuyten Duyvil,39
758,Staten Island,Grymes Hill,10
759,Brooklyn,Fort Wadsworth,1
760,Queens,Downtown Brooklyn,1750
761,Queens,Navy Yard,9
762,Queens,Jamaica Bay,4
763,Manhattan,Jamaica Bay,7
764,Brooklyn,Kingsbridge,1
765,Bronx,Forest Park,1
766,Manhattan,Mount Hope,26
767,Staten Island,Chelsea Staten Island,17
768,Brooklyn,Richmond Hill,23
769,Brooklyn,Ferry Point Park,2
770,Queens,Bath Beach,2
771,Manhattan,College Point,33
772,Queens,Flatlands,9
773,Bronx,East Village,1852
774,Staten Island,Park Hill,10
775,Bronx,Nolita,108
776,Manhattan,Lower East Side,187995
777,Brooklyn,Jamaica Hills,1
778,Manhattan,Rockaway Park,2
779,Queens,LaGuardia Airport,43406
780,Bronx,Wakefield,85
781,Queens,Columbia St,198
782,Bronx,Civic Center,120
783,Bronx,Fieldston,45
784,Manhattan,University Heights,27
785,Queens,NoHo,2496
786,Manhattan,Freshkills Park,4
787,Staten Island,Clifton,6
788,Staten Island,Fort Hamilton,10
789,Staten Island,Carroll Gardens,5
790,Queens,St. George,1
791,Manhattan,Tompkinsville,1
792,Manhattan,Kensington,327
793,Manhattan,Glendale,12
794,Bronx,Battery Park City,180
795,Queens,Morningside Heights,5092
796,Bronx,Stuyvesant Town,224
797,Staten Island,Green-Wood Cemetery,1
798,Bronx,City Island,9
799,Staten Island,Mariners Harbor,5
800,Queens,East Elmhurst,9729
801,Bronx,Williamsbridge,112
802,Queens,Kensington,51
803,Staten Island,Lighthouse Hill,6
804,Queens,Boerum Hill,650
805,Bronx,Theater District,3068
806,Staten Island,Arrochar,10
807,Bronx,Bronx Park,186
808,Queens,Long Island City,42037
809,Brooklyn,John F. Kennedy International Airport,36287
810,Staten Island,Brooklyn Heights,8
811,Queens,Woodrow,1
812,Staten Island,Bay Terrace Staten Island,2
813,Brooklyn,Stuyvesant Town,1874
814,Staten Island,South Ozone Park,1
815,Brooklyn,Prospect-Lefferts Gardens,745
816,Staten Island,Morningside Heights,5
817,Brooklyn,Bushwick,1608
818,Manhattan,Park Slope,5958
819,Staten Island,Greenpoint,13
820,Manhattan,Central Park,229965
821,Staten Island,East Village,83
822,Queens,Prince's Bay,1
823,Staten Island,SoHo,60
824,Queens,Plum Beach,1
825,Bronx,Edenwald,39
826,Brooklyn,Schuylerville,2
827,Brooklyn,Boerum Hill,8843
828,Queens,Mount Hope,5
829,Queens,Cunningham Park,34
830,Brooklyn,Astoria,1639
831,Queens,Allerton,2
832,Manhattan,East Village,555728
